"","geoid","state","county","tract","blkgrp","name_1","below_pov","bipoc","bipoc_scor","poverty_sc","rpl_themes","cdc_score","blockgroup","resflood","critflood","comflood"
"1","370210025063","37","021","002506","3","Block Group 3, Census Tract 25.06, Buncombe County, North Carolina",24.14,26.87,4,4,0.83,5,"370210013001",2,0,1
"2","370210011003","37","021","001100","3","Block Group 3, Census Tract 11, Buncombe County, North Carolina",0,11.6,2,1,0.21,2,"370210010002",1,1,1
"3","370210012005","37","021","001200","5","Block Group 5, Census Tract 12, Buncombe County, North Carolina",3.93,8.46,2,2,0.34,2,"370210011002",1,0,2
"4","370210014002","37","021","001400","2","Block Group 2, Census Tract 14, Buncombe County, North Carolina",10.88,17.74,3,3,0.7,4,"370210002001",1,0,2
"5","370210030011","37","021","003001","1","Block Group 1, Census Tract 30.01, Buncombe County, North Carolina",2.58,4.01,1,2,0.43,3,"370210018023",3,0,1
"6","370210014003","37","021","001400","3","Block Group 3, Census Tract 14, Buncombe County, North Carolina",15.43,11.18,2,3,0.7,4,"370210003001",1,0,2
"7","370210025052","37","021","002505","2","Block Group 2, Census Tract 25.05, Buncombe County, North Carolina",1.86,6.96,2,1,0.41,3,"370210024021",2,0,2
"8","370210017002","37","021","001700","2","Block Group 2, Census Tract 17, Buncombe County, North Carolina",2.68,1.18,1,2,0.14,1,"370210016001",1,0,1
"9","370210012003","37","021","001200","3","Block Group 3, Census Tract 12, Buncombe County, North Carolina",0,8.22,2,1,0.34,2,"370210011001",1,1,1
"10","370210020004","37","021","002000","4","Block Group 4, Census Tract 20, Buncombe County, North Carolina",11.01,66.77,5,3,0.68,4,"370210020003",1,1,2
"11","370210003002","37","021","000300","2","Block Group 2, Census Tract 3, Buncombe County, North Carolina",10.75,20.41,3,3,0.43,3,"370210002001",1,0,2
"12","370210022044","37","021","002204","4","Block Group 4, Census Tract 22.04, Buncombe County, North Carolina",0,15.52,3,1,0.29,2,"370210022041",1,0,2
"13","370210022062","37","021","002206","2","Block Group 2, Census Tract 22.06, Buncombe County, North Carolina",9.11,19.86,3,3,0.57,3,"370210022042",1,0,2
"14","370210022033","37","021","002203","3","Block Group 3, Census Tract 22.03, Buncombe County, North Carolina",26.47,7.97,2,4,0.73,4,"370210022032",2,0,1
"15","370210024021","37","021","002402","1","Block Group 1, Census Tract 24.02, Buncombe County, North Carolina",10.92,8.05,2,3,0.51,3,"370210023021",2,0,1
"16","370210006002","37","021","000600","2","Block Group 2, Census Tract 6, Buncombe County, North Carolina",4.04,10.6,2,2,0.35,2,"370210001001",1,0,2
"17","370210012002","37","021","001200","2","Block Group 2, Census Tract 12, Buncombe County, North Carolina",0,14.54,3,1,0.34,2,"370210012001",1,0,2
"18","370210020003","37","021","002000","3","Block Group 3, Census Tract 20, Buncombe County, North Carolina",0,51.52,5,1,0.68,4,"370210008003",2,1,1
"19","370210005002","37","021","000500","2","Block Group 2, Census Tract 5, Buncombe County, North Carolina",0,8.66,2,1,0.04,1,"370210005001",1,0,1
"20","370210010002","37","021","001000","2","Block Group 2, Census Tract 10, Buncombe County, North Carolina",20.15,30.28,4,4,0.38,2,"370210010001",1,1,2
"21","370210002001","37","021","000200","1","Block Group 1, Census Tract 2, Buncombe County, North Carolina",33.55,43.24,5,5,0.22,2,"370210002001",1,0,2
"22","370210010003","37","021","001000","3","Block Group 3, Census Tract 10, Buncombe County, North Carolina",0,8.96,2,1,0.38,2,"370210010001",1,1,2
"23","370210011002","37","021","001100","2","Block Group 2, Census Tract 11, Buncombe County, North Carolina",4.84,5.03,1,2,0.21,2,"370210011001",1,1,1
"24","370210006001","37","021","000600","1","Block Group 1, Census Tract 6, Buncombe County, North Carolina",7.77,11.7,2,2,0.35,2,"370210005001",1,0,1
"25","370210012001","37","021","001200","1","Block Group 1, Census Tract 12, Buncombe County, North Carolina",8.57,4.58,1,3,0.34,2,"370210011001",1,1,1
"26","370210010001","37","021","001000","1","Block Group 1, Census Tract 10, Buncombe County, North Carolina",13.44,9.17,2,3,0.38,4,"370210002001",1,0,2
"27","370210019001","37","021","001900","1","Block Group 1, Census Tract 19, Buncombe County, North Carolina",9.3,3.15,1,3,0.46,3,"370210018012",1,0,2
"28","370210009002","37","021","000900","2","Block Group 2, Census Tract 9, Buncombe County, North Carolina",0,44.3,5,1,0.94,5,"370210001001",1,0,2
"29","370210022042","37","021","002204","2","Block Group 2, Census Tract 22.04, Buncombe County, North Carolina",1.93,12.29,2,1,0.29,2,"370210021011",1,1,2
"30","370210020002","37","021","002000","2","Block Group 2, Census Tract 20, Buncombe County, North Carolina",4.92,1.87,1,2,0.68,4,"370210019002",2,1,3
"31","370210005003","37","021","000500","3","Block Group 3, Census Tract 5, Buncombe County, North Carolina",2.11,3.44,1,1,0.04,1,"370210004002",1,1,2
"32","370210013001","37","021","001300","1","Block Group 1, Census Tract 13, Buncombe County, North Carolina",10.82,7.43,2,3,0.72,4,"370210012002",2,0,3
"33","370210022041","37","021","002204","1","Block Group 1, Census Tract 22.04, Buncombe County, North Carolina",0,12.24,2,1,0.29,2,"370210021011",1,1,2
"34","370210016002","37","021","001600","2","Block Group 2, Census Tract 16, Buncombe County, North Carolina",0,10.59,2,1,0.56,3,"370210004001",1,0,3
"35","370210022032","37","021","002203","2","Block Group 2, Census Tract 22.03, Buncombe County, North Carolina",0,22.74,3,1,0.73,4,"370210022032",2,0,1
"36","370210004001","37","021","000400","1","Block Group 1, Census Tract 4, Buncombe County, North Carolina",0,12.68,2,1,0.39,2,"370210003001",1,0,2
"37","370210014005","37","021","001400","5","Block Group 5, Census Tract 14, Buncombe County, North Carolina",8.97,24.62,4,3,0.7,4,"370210013002",2,0,3
"38","370210022031","37","021","002203","1","Block Group 1, Census Tract 22.03, Buncombe County, North Carolina",15.93,26.28,4,3,0.73,4,"370210022032",2,0,1
"39","370210025061","37","021","002506","1","Block Group 1, Census Tract 25.06, Buncombe County, North Carolina",19.8,12.56,2,4,0.83,5,"370210012005",2,0,1
"40","370210009003","37","021","000900","3","Block Group 3, Census Tract 9, Buncombe County, North Carolina",41.78,54.57,5,5,0.94,5,"370210008003",2,1,1
"41","370210022051","37","021","002205","1","Block Group 1, Census Tract 22.05, Buncombe County, North Carolina",6.47,9.39,2,2,0.36,2,"370210022033",2,0,1
"42","370210023021","37","021","002302","1","Block Group 1, Census Tract 23.02, Buncombe County, North Carolina",5.41,9.33,2,2,0.3,2,"370210012005",2,0,1
"43","370210008001","37","021","000800","1","Block Group 1, Census Tract 8, Buncombe County, North Carolina",22.17,43.75,5,4,0.19,1,"370210007001",1,0,1
"44","370210015001","37","021","001500","1","Block Group 1, Census Tract 15, Buncombe County, North Carolina",14.64,15.15,3,3,0.62,4,"370210014003",1,0,3
"45","370210026052","37","021","002605","2","Block Group 2, Census Tract 26.05, Buncombe County, North Carolina",10.32,13.65,2,3,0.43,3,"370210014005",3,0,1
"46","370210016001","37","021","001600","1","Block Group 1, Census Tract 16, Buncombe County, North Carolina",0,10.48,2,1,0.56,3,"370210005003",2,0,2
"47","370210018012","37","021","001801","2","Block Group 2, Census Tract 18.01, Buncombe County, North Carolina",5.81,18.3,3,2,0.43,3,"370210018011",1,1,1
"48","370210018023","37","021","001802","3","Block Group 3, Census Tract 18.02, Buncombe County, North Carolina",2.87,10.77,2,2,0.36,2,"370210018012",1,0,2
"49","370210025051","37","021","002505","1","Block Group 1, Census Tract 25.05, Buncombe County, North Carolina",5.24,2.29,1,2,0.41,3,"370210025052",2,0,2
"50","370210007001","37","021","000700","1","Block Group 1, Census Tract 7, Buncombe County, North Carolina",9.79,40.24,4,3,0.17,1,"370210001001",1,0,2
"51","370210003001","37","021","000300","1","Block Group 1, Census Tract 3, Buncombe County, North Carolina",33.79,34.57,4,5,0.43,3,"370210002001",1,0,2
"52","370210023012","37","021","002301","2","Block Group 2, Census Tract 23.01, Buncombe County, North Carolina",0,9.42,2,1,0.34,2,"370210022041",1,0,2
"53","370210014001","37","021","001400","1","Block Group 1, Census Tract 14, Buncombe County, North Carolina",0,6.72,2,1,0.7,4,"370210002001",1,0,2
"54","370210001001","37","021","000100","1","Block Group 1, Census Tract 1, Buncombe County, North Carolina",16.34,25.28,4,3,0.74,4,"370210001001",1,0,2
"55","370210021022","37","021","002102","2","Block Group 2, Census Tract 21.02, Buncombe County, North Carolina",8.68,28.21,4,3,0.73,4,"370210020003",1,1,2
"56","370210032033","37","021","003203","3","Block Group 3, Census Tract 32.03, Buncombe County, North Carolina",8.79,33.96,4,3,0.33,2,"370210019002",2,1,3
"57","370210019002","37","021","001900","2","Block Group 2, Census Tract 19, Buncombe County, North Carolina",4.49,7.48,2,2,0.46,3,"370210008002",2,1,1
"58","370210008002","37","021","000800","2","Block Group 2, Census Tract 8, Buncombe County, North Carolina",0,16.07,3,1,0.19,1,"370210008001",2,1,1
"59","370210012004","37","021","001200","4","Block Group 4, Census Tract 12, Buncombe County, North Carolina",4.94,7.11,2,2,0.34,2,"370210012002",2,0,3
"60","370210021011","37","021","002101","1","Block Group 1, Census Tract 21.01, Buncombe County, North Carolina",2.07,4.29,1,1,0.01,1,"370210008003",2,1,1
"61","370210016003","37","021","001600","3","Block Group 3, Census Tract 16, Buncombe County, North Carolina",11.14,3.36,1,3,0.56,3,"370210015001",1,0,3
"62","370210008003","37","021","000800","3","Block Group 3, Census Tract 8, Buncombe County, North Carolina",2.59,2.85,1,2,0.19,1,"370210008001",2,1,1
"63","370210014004","37","021","001400","4","Block Group 4, Census Tract 14, Buncombe County, North Carolina",5.33,12.44,2,2,0.7,4,"370210012001",1,0,2
"64","370210022043","37","021","002204","3","Block Group 3, Census Tract 22.04, Buncombe County, North Carolina",0,12.71,2,1,0.29,2,"370210022032",2,0,1
"65","370210023013","37","021","002301","3","Block Group 3, Census Tract 23.01, Buncombe County, North Carolina",11.19,15.45,3,3,0.34,2,"370210022032",2,0,1
"66","370210005001","37","021","000500","1","Block Group 1, Census Tract 5, Buncombe County, North Carolina",2.64,6.91,2,2,0.04,1,"370210005001",1,0,1
"67","370210017001","37","021","001700","1","Block Group 1, Census Tract 17, Buncombe County, North Carolina",3.47,0,1,2,0.14,1,"370210005001",1,0,1
"68","370210020001","37","021","002000","1","Block Group 1, Census Tract 20, Buncombe County, North Carolina",14.48,17.16,3,3,0.68,4,"370210008002",2,1,1
"69","370210011001","37","021","001100","1","Block Group 1, Census Tract 11, Buncombe County, North Carolina",12.44,31.05,4,3,0.21,2,"370210010001",1,1,2
"70","370210009001","37","021","000900","1","Block Group 1, Census Tract 9, Buncombe County, North Carolina",28.72,56.77,5,4,0.94,5,"370210001001",1,0,2
"71","370210023022","37","021","002302","2","Block Group 2, Census Tract 23.02, Buncombe County, North Carolina",0,3.87,1,1,0.3,2,"370210023021",2,0,1
"72","370210013002","37","021","001300","2","Block Group 2, Census Tract 13, Buncombe County, North Carolina",27.97,27.94,4,4,0.72,4,"370210012001",1,0,2
"73","370210022052","37","021","002205","2","Block Group 2, Census Tract 22.05, Buncombe County, North Carolina",0.79,17.56,3,1,0.41,3,"370210022051",2,0,1
"74","370210030014","37","021","003001","4","Block Group 4, Census Tract 30.01, Buncombe County, North Carolina",15.43,4.16,1,3,0.43,3,"370210018023",3,0,1
"75","370210004002","37","021","000400","2","Block Group 2, Census Tract 4, Buncombe County, North Carolina",0,3.16,1,1,0.39,2,"370210004001",1,0,3
"76","370210022053","37","021","002205","3","Block Group 3, Census Tract 22.05, Buncombe County, North Carolina",0,10.48,2,1,0.36,2,"370210022051",2,0,1
"77","370210002002","37","021","000200","2","Block Group 2, Census Tract 2, Buncombe County, North Carolina",0,23.22,3,1,0.22,2,"370210002001",1,0,2
"78","370210022061","37","021","002206","1","Block Group 1, Census Tract 22.06, Buncombe County, North Carolina",1.61,18.3,3,1,0.57,3,"370210021021",2,1,3
"79","370210004003","37","021","000400","3","Block Group 3, Census Tract 4, Buncombe County, North Carolina",0,19.97,3,1,0.39,2,"370210004001",1,0,3
"80","370210021021","37","021","002102","1","Block Group 1, Census Tract 21.02, Buncombe County, North Carolina",7.13,12.09,2,2,0.73,4,"370210019002",2,1,3
