State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
GRAND TOTAL,,," 4,648,377 "," $1,275,409,287,000 "," $3,990,285,104 "," $4,977,438,291 "
ALABAMA,AUTAUGA COUNTY,AUTAUGA COUNTY * (010314), 68 ," $17,071,000 "," $68,325 "," $83,772 "
ALABAMA,AUTAUGA COUNTY,"AUTAUGAVILLE, TOWN OF (010001)", 4 ," $676,000 "," $3,904 "," $5,123 "
ALABAMA,AUTAUGA COUNTY,"PRATTVILLE, CITY OF (010002)", 162 ," $43,142,000 "," $180,478 "," $229,815 "
ALABAMA,BALDWIN COUNTY,BALDWIN COUNTY* (015000)," 10,953 "," $2,882,277,000 "," $6,708,015 "," $8,530,141 "
ALABAMA,BALDWIN COUNTY,"BAY MINETTE, CITY OF (010004)", 8 ," $3,137,000 "," $7,228 "," $9,112 "
ALABAMA,BALDWIN COUNTY,"DAPHNE, CITY OF (010005)", 386 ," $112,308,000 "," $241,794 "," $312,802 "
ALABAMA,BALDWIN COUNTY,"ELBERTA, TOWN OF (010212)", 35 ," $9,348,000 "," $33,510 "," $42,147 "
ALABAMA,BALDWIN COUNTY,"FAIRHOPE, CITY OF (010006)", 483 ," $140,297,000 "," $386,969 "," $483,907 "
ALABAMA,BALDWIN COUNTY,"FOLEY, CITY OF (010007)", 526 ," $164,305,000 "," $374,748 "," $468,447 "
ALABAMA,BALDWIN COUNTY,"GULF SHORES, CITY OF (015005)"," 7,567 "," $1,786,886,000 "," $4,788,131 "," $6,065,066 "
ALABAMA,BALDWIN COUNTY,"LOXLEY, TOWN OF (010009)", 45 ," $11,976,000 "," $26,844 "," $34,222 "
ALABAMA,BALDWIN COUNTY,"MAGNOLIA SPRINGS, TOWN OF (010524)", 51 ," $18,084,000 "," $72,671 "," $89,522 "
ALABAMA,BALDWIN COUNTY,"ORANGE BEACH, CITY OF (015011)"," 5,801 "," $1,432,745,000 "," $2,414,043 "," $3,039,192 "
ALABAMA,BALDWIN COUNTY,"PERDIDO BEACH, TOWN OF (010523)", 65 ," $20,416,000 "," $68,154 "," $86,893 "
ALABAMA,BALDWIN COUNTY,"ROBERTSDALE, CITY OF (010222)", 36 ," $9,959,000 "," $23,949 "," $30,878 "
