GEOID,NAME,ESTAB,EMP,EMP_N
0500000US37003,"Alexander County, North Carolina",588,8184,G
0500000US37005,"Alleghany County, North Carolina",263,2253,G
0500000US37009,"Ashe County, North Carolina",585,6189,G
0500000US37011,"Avery County, North Carolina",531,5277,G
0500000US37021,"Buncombe County, North Carolina",9720,125169,G
0500000US37023,"Burke County, North Carolina",1513,23686,G
0500000US37027,"Caldwell County, North Carolina",1412,22700,G
0500000US37035,"Catawba County, North Carolina",4334,86500,G
0500000US37043,"Clay County, North Carolina",249,1767,G
0500000US37045,"Cleveland County, North Carolina",2022,31001,G
0500000US37071,"Gaston County, North Carolina",4580,69780,G
0500000US37087,"Haywood County, North Carolina",1520,15246,G
0500000US37089,"Henderson County, North Carolina",3029,37572,G
0500000US37099,"Jackson County, North Carolina",1103,13008,H
0500000US37109,"Lincoln County, North Carolina",2014,22494,G
0500000US37111,"McDowell County, North Carolina",828,13670,G
0500000US37113,"Macon County, North Carolina",1254,10377,G
0500000US37115,"Madison County, North Carolina",382,3319,G
0500000US37119,"Mecklenburg County, North Carolina",36081,685465,G
0500000US37121,"Mitchell County, North Carolina",370,4001,G
0500000US37149,"Polk County, North Carolina",520,4281,G
0500000US37161,"Rutherford County, North Carolina",1272,15970,G
0500000US37173,"Swain County, North Carolina",396,3921,G
0500000US37175,"Transylvania County, North Carolina",983,8361,G
0500000US37189,"Watauga County, North Carolina",1731,20209,G
0500000US37193,"Wilkes County, North Carolina",1156,19042,G
0500000US37199,"Yancey County, North Carolina",361,3474,G
